Date,Daily Trading Volume (Call),Daily Trading Volume (Put),Daily Trading Volume (Futures),Daily Trading Volume (Spots),Cumulative Trading Volume
2025-08-06,0,0,0,0,26641.521700262445
2025-08-07,0,0,0,0,26641.521700262445
2025-08-08,0,0,0,0,26641.521700262445
2025-08-09,0,0,0,0,26641.521700262445
2025-08-10,0,0,23.918809991365308,0,26665.44051025381
2025-08-11,0,0,0,0,26665.44051025381
2025-08-12,0,0,0,0,26665.44051025381
2025-08-13,0,0,3.0004174836012005,0,26668.44092773741
2025-08-14,0,0,4.002226947742076,0,26672.443154685152
2025-08-15,0,0,0,0,26672.443154685152
2025-08-16,0,0,0,0,26672.443154685152
2025-08-17,0,0,0,0,26672.443154685152
2025-08-18,0,0,23.28167006771539,0,26695.724824752866
2025-08-19,0,0,0,0,26695.724824752866
2025-08-20,0,0,189.49551928584776,0,26885.220344038713
2025-08-21,0,0,349.71672724734617,0,27234.93707128606
2025-08-22,0,0,0,0,27234.93707128606
2025-08-23,0,0,0,0,27234.93707128606
2025-08-24,0,0,0,0,27234.93707128606
2025-08-25,0,0,0,0,27234.93707128606
2025-08-26,0,0,1191.7346479596551,0,28426.671719245714
2025-08-27,0,0,2414.570814719361,0,30841.242533965076
2025-08-28,0,0,804.6232310368158,0,31645.86576500189
2025-08-29,0,0,0,0,31645.86576500189
2025-08-30,0,0,0,0,31645.86576500189
2025-08-31,0,0,0,0,31645.86576500189
2025-09-01,0,0,3.0005389781247653,0,31648.866303980016
2025-09-02,0,0,0,0,31648.866303980016
2025-09-03,0,0,1.9997927437276193,0,31650.866096723745
2025-09-04,0,0,0,0,31650.866096723745
2025-09-05,0,0,1.3008862851134144,0,31652.166983008858
2025-09-06,0,0,0,0,31652.166983008858
2025-09-07,0,0,0,0,31652.166983008858
2025-09-08,0,0,0,0,31652.166983008858
2025-09-09,0,0,23.308447680692915,0,31675.475430689552
2025-09-10,0,0,416.5887079465645,0,32092.064138636117
2025-09-11,0,0,206.46032380260766,0,32298.524462438723
2025-09-12,0,0,1584.8390617593516,0,33883.363524198074
2025-09-13,0,0,24.32078735002002,0,33907.684311548095
2025-09-14,0,0,0,0,33907.684311548095
2025-09-15,0,0,43.29679084693559,0,33950.98110239503
2025-09-16,0,0,1.8003555602727732,0,33952.7814579553
2025-09-17,0,0,0,0,33952.7814579553
2025-09-18,0,0,416.51092956854944,0,34369.29238752385
2025-09-19,0,0,908.5207418180536,0,35277.8131293419
2025-09-20,0,0,0,0,35277.8131293419
2025-09-21,0,0,45.802530356472275,0,35323.61565969837
2025-09-22,0,0,518.4081445569622,0,35842.02380425533
2025-09-23,0,0,603.7048789676907,0,36445.728683223024
2025-09-24,0,0,700.9925304910129,0,37146.72121371404
2025-09-25,0,0,828.5715642635837,0,37975.29277797762
2025-09-26,0,0,15.007285708598289,0,37990.30006368622
2025-09-27,0,0,0,0,37990.30006368622
2025-09-28,0,0,0,0,37990.30006368622
2025-09-29,0,0,2.5003221751319704,0,37992.80038586135
2025-09-30,0,0,48.145471036252815,0,38040.945856897604
2025-10-01,0,0,390.9319509879472,0,38431.877807885554
2025-10-02,0,0,133.4924291401335,0,38565.37023702569
2025-10-03,0,0,280.24181722769276,0,38845.61205425338
